Location Code	Location Name	Country Code	Country Name
709230	Tres Cerritos	AR	Argentina
709231	Cachi	AR	Argentina
709232	El Aibal	AR	Argentina
709233	El Encon	AR	Argentina
709234	La Silleta	AR	Argentina
709235	Cerrillos	AR	Argentina
709236	San Lorenzo	AR	Argentina
709237	Gral. Alvarado	AR	Argentina
709469	Rosario	AR	Argentina
709470	Celedonio Escalada	AR	Argentina
709471	Barrio Alberdi	AR	Argentina
709472	Sarmiento	AR	Argentina
709473	Lisandro de la Torre	AR	Argentina
709474	Luis Agote	AR	Argentina
709475	Las Malvinas	AR	Argentina
709476	Alberto Olmedo	AR	Argentina
709477	Centro	AR	Argentina
709478	Del Abasto	AR	Argentina
709479	Bella Vista	AR	Argentina
709480	17 de Agosto	AR	Argentina
709481	Villa Gobernador Galvez	AR	Argentina
709482	Roldan	AR	Argentina
709483	Barrio Fisherton	AR	Argentina
709484	Larrea y Empalme Graneros	AR	Argentina
709485	La Ceramica y Cuyo	AR	Argentina
709486	Ludueña	AR	Argentina
709487	Antartida Argentina	AR	Argentina
709488	España Y Hospitales	AR	Argentina
709489	Gral Jose de San Martin	AR	Argentina
711852	City Center	AR	Argentina
711853	Waterfront/beach	AR	Argentina
711854	Trelew	AR	Argentina
712115	Puerto Iguazu	AR	Argentina
712116	600 Hectareas	AR	Argentina
716188	Mar Del Plata City Center	AR	Argentina
716189	Near Center	AR	Argentina
716190	Mar del Plata	AR	Argentina
716191	La Perla	AR	Argentina
716192	Bosque Peralta Ramos	AR	Argentina
716193	Playa Grande	AR	Argentina
716194	Barrio Santa Rosa de Lima	AR	Argentina
716195	Barrio Florentino Ameghino	AR	Argentina
716196	Barrio Aeroparque	AR	Argentina
716197	Barrio Belisario Roldán	AR	Argentina
716198	Barrio Constitucion	AR	Argentina
716199	Caisamar	AR	Argentina
716200	Barrio Zacagnini	AR	Argentina
716201	Cuadricula	AR	Argentina
716202	Barrio Parque Luro	AR	Argentina
716203	Barrio Los Pinares	AR	Argentina
716204	Barrio San Carlos	AR	Argentina
716205	Barrio San Cayetano	AR	Argentina
717263	Buenos Aires Downtown	AR	Argentina
717264	Palermo	AR	Argentina
717265	Recoleta	AR	Argentina
717266	San Telmo - La Boca	AR	Argentina
717267	Other	AR	Argentina
717268	Belgrano	AR	Argentina
717269	Colegiales	AR	Argentina
717270	Almagro	AR	Argentina
717271	Caballito	AR	Argentina
717272	Boedo	AR	Argentina
717273	Nuñez	AR	Argentina
717274	Nueva Pompeya	AR	Argentina
717275	Villa Urquiza	AR	Argentina
717276	Saavedra	AR	Argentina
717277	Villa Pueyrredón	AR	Argentina
717278	Parque Patricios	AR	Argentina
717279	Balvanera	AR	Argentina
717280	San Cristóbal	AR	Argentina
717281	Pompeya	AR	Argentina
717282	Barracas	AR	Argentina
717283	Villa Crespo	AR	Argentina
717284	Chacarita	AR	Argentina
717285	Villa Ortuzar	AR	Argentina
717286	West Area	AR	Argentina
717287	Southwest area	AR	Argentina
717288	Berazategui	AR	Argentina
717289	Lomas de Zamora	AR	Argentina
717290	Lanus	AR	Argentina
717291	Avellaneda	AR	Argentina
717292	Morón	AR	Argentina
717293	Monserrat	AR	Argentina
717294	Tigre	AR	Argentina
717295	Boca	AR	Argentina
717296	Constitucion	AR	Argentina
717297	Dock Sud	AR	Argentina
717298	Puerto Madero	AR	Argentina
717299	Reserva Ecologica	AR	Argentina
717300	Retiro	AR	Argentina
717301	San Nicolas	AR	Argentina
717302	San Telmo	AR	Argentina
717303	Zona de Reserva	AR	Argentina
717304	Zona Portuaria	AR	Argentina
717305	Coghalan	AR	Argentina
717306	Villa Martelli	AR	Argentina
717307	Parque Chas	AR	Argentina
717308	Crucecita	AR	Argentina
717309	Parque Avellaneda	AR	Argentina
717310	Chacabuco Park	AR	Argentina
717311	Flores	AR	Argentina
717312	Floresta	AR	Argentina
717313	Villa Santa Rita	AR	Argentina
717314	Villa Devoto	AR	Argentina
717315	Agronomia	AR	Argentina
717316	Buenos Aires	AR	Argentina
722322	Ushuaia City Center	AR	Argentina
722323	Mountainside	AR	Argentina
722324	Near Center	AR	Argentina
722325	Ushuaia	AR	Argentina
722570	Neuquen	AR	Argentina
723343	Mendoza City Center	AR	Argentina
723344	Near Center	AR	Argentina
723345	Mendoza	AR	Argentina
723346	Lujan	AR	Argentina
723347	Lujan de Cuyo	AR	Argentina
723348	Godoy Cruz	AR	Argentina
723349	Las Heras	AR	Argentina
723350	Villa Nueva	AR	Argentina
723351	Maipu	AR	Argentina
723352	Pueblo Nuevo	AR	Argentina
731052	San Carlos de Bariloche	AR	Argentina
731053	City Center	AR	Argentina
731054	Mountainside	AR	Argentina
731055	Waterfront/beach	AR	Argentina
731056	Bariloche	AR	Argentina
731057	Cerro Catedral	AR	Argentina
731058	Llao Llao	AR	Argentina
731059	Playa Bonita	AR	Argentina
731060	Lago Gutierrez	AR	Argentina
731061	Tucuman City Center	AR	Argentina
731062	Other	AR	Argentina
731063	Barrio Norte	AR	Argentina
731064	Barrio Sur	AR	Argentina
731065	Ciudadela	AR	Argentina
731066	Don Bosco	AR	Argentina
731067	City Center	AR	Argentina
731068	Villa 9 de julio	AR	Argentina
731069	Parque 9 de Julio	AR	Argentina
731070	Alderetes	AR	Argentina
739770	Catamarca	AR	Argentina
739771	Merlo City Center	AR	Argentina
739772	El Rincon	AR	Argentina
739773	Cerro de Oro	AR	Argentina
739774	Pantanillo	AR	Argentina
739775	Resistencia	AR	Argentina
739776	Villa Mercedes	AR	Argentina
739777	Villa la Angostura	AR	Argentina
739778	La Villa	AR	Argentina
739779	Puerto Manzano	AR	Argentina
739780	Puerto Angostura	AR	Argentina
740024	General Rodriguez	AR	Argentina
741950	El Calafate	AR	Argentina
741951	Puerto Piramides	AR	Argentina
741952	Rio Ceballos	AR	Argentina
741953	Tunuyan	AR	Argentina
741954	Tunuyan City Center	AR	Argentina
741955	Colonia Las Rosas	AR	Argentina
741956	Los Sauces	AR	Argentina
741957	Manzano Historico	AR	Argentina
741958	Estancia la Pampa	AR	Argentina
743002	Santa Fe	AR	Argentina
743003	Santo Tome	AR	Argentina
743004	Rosario	AR	Argentina
743005	Puerto de Santa Fe	AR	Argentina
743006	Collastine Norte	AR	Argentina
743007	Santa Fe City Center	AR	Argentina
743008	Pinamar	AR	Argentina
743009	La Plata	AR	Argentina
743010	Villa Elisa	AR	Argentina
743011	City Bell	AR	Argentina
743017	San Juan	AR	Argentina
743018	Trinidad	AR	Argentina
743019	Santa Lucía	AR	Argentina
743231	San Isidro	AR	Argentina
743410	Tigre	AR	Argentina
743411	Rincon de Milberg	AR	Argentina
743412	Delta del Tigre	AR	Argentina
760100	Carilo	AR	Argentina
760101	Cayasta	AR	Argentina
760102	San Antonio de los Cobres	AR	Argentina
760103	San Bernardo	AR	Argentina
760104	San Rafael	AR	Argentina
760105	Rama Caida	AR	Argentina
760106	Capitan Montoya	AR	Argentina
760107	Pedro Vargas	AR	Argentina
762429	Lujan	AR	Argentina
762430	San Martin De Los Andes	AR	Argentina
762431	Chapelco	AR	Argentina
766030	Acassuso	AR	Argentina
766031	Parana	AR	Argentina
766032	Ramallo	AR	Argentina
766033	San Pedro	AR	Argentina
766034	Obligado	AR	Argentina
766035	Mansilla	AR	Argentina
766036	San Pedro City Center	AR	Argentina
766037	Rio Tala	AR	Argentina
768725	Alta Gracia	AR	Argentina
768726	Azul	AR	Argentina
768727	Bahia Blanca	AR	Argentina
768728	Cachi	AR	Argentina
768729	Campana	AR	Argentina
768730	Capilla Del Monte	AR	Argentina
768731	Cipolletti	AR	Argentina
768732	Colon	AR	Argentina
768733	Concordia	AR	Argentina
768734	Ayui	AR	Argentina
768735	Osvaldo Magnasco	AR	Argentina
768736	Villa Zorraquin	AR	Argentina
768737	Concordia City Center	AR	Argentina
768738	Corrientes	AR	Argentina
768739	El Chalten	AR	Argentina
768740	Empedrado	AR	Argentina
768741	Esquel	AR	Argentina
768742	Federacion	AR	Argentina
768743	Alem Norte	AR	Argentina
768744	Formosa	AR	Argentina
768745	Gualeguaychu	AR	Argentina
768746	Junin	AR	Argentina
768747	Junin De Los Andes	AR	Argentina
768748	La Cumbrecita	AR	Argentina
768749	La Paz	AR	Argentina
768750	La Rioja	AR	Argentina
768751	Las Grutas	AR	Argentina
768752	Malargue	AR	Argentina
768753	Mar De Ajo	AR	Argentina
768754	Mar De Las Pampas	AR	Argentina
768755	Mina Clavero	AR	Argentina
768756	Pilar Centro	AR	Argentina
768757	La Lonja	AR	Argentina
768758	Villa Rosa	AR	Argentina
768759	Presidente Derqui	AR	Argentina
768760	Villa Astolfi	AR	Argentina
768761	Del Viso	AR	Argentina
768762	Manzanares	AR	Argentina
768763	Fatima	AR	Argentina
768764	Manuel Alberti	AR	Argentina
768765	Zelaya	AR	Argentina
768766	Puerto Libertad	AR	Argentina
768767	Purmamarca	AR	Argentina
768768	Rawson	AR	Argentina
768769	Playa Magagna	AR	Argentina
768770	Rio Cuarto	AR	Argentina
768771	Rio Gallegos	AR	Argentina
768772	San Antonio De Areco	AR	Argentina
768773	Villa Lia	AR	Argentina
768774	San Antonio De Areco City Center	AR	Argentina
768775	San Luis	AR	Argentina
768776	La Punta	AR	Argentina
768777	Las Bananas	AR	Argentina
768778	San Luis City Center	AR	Argentina
768779	Los Puqoius	AR	Argentina
768780	El Volcan	AR	Argentina
768781	San Roque	AR	Argentina
768782	San Martin	AR	Argentina
768783	San Salvador De Jujuy	AR	Argentina
768784	Barrio Cuyaya	AR	Argentina
768785	Barrio Reyes	AR	Argentina
768786	San Pablo de Reyes	AR	Argentina
768787	Lozano	AR	Argentina
768788	Yala	AR	Argentina
768789	Barrio Los Perales	AR	Argentina
768790	Barrio Chijra	AR	Argentina
768791	Barrio Alto la Vina	AR	Argentina
768792	Barrio Bajo la Vina	AR	Argentina
768793	Barrio Bajo Gorriti	AR	Argentina
768794	Barrio Sargento Cabral	AR	Argentina
768795	Los Alisos	AR	Argentina
768796	Barrio Centro	AR	Argentina
768797	Termas de Reyes	AR	Argentina
768798	Barrio Alto Padilla	AR	Argentina
768799	Tafi Del Valle	AR	Argentina
768800	El Mollar	AR	Argentina
768801	Las Carreras	AR	Argentina
768802	Tandil	AR	Argentina
768803	Tierra Del Fuego	AR	Argentina
768804	Tilcara	AR	Argentina
768805	Tilcara City Center	AR	Argentina
768806	Alfarcito	AR	Argentina
768807	Tres Arroyos	AR	Argentina
768808	Trevelin	AR	Argentina
768809	Vicente Lopez	AR	Argentina
768810	Victoria	AR	Argentina
768811	Villa Carlos Paz	AR	Argentina
768812	Villa Independencia	AR	Argentina
768813	Villa General Belgrano	AR	Argentina
768814	Villa Gesell	AR	Argentina
768815	Villa Maria	AR	Argentina
768816	Zapala	AR	Argentina
772312	Iruya	AR	Argentina
773432	Barrio Colonia Alegre	AR	Argentina
773433	Batán	AR	Argentina
773434	Balcarce	AR	Argentina
773435	Coronel Suárez	AR	Argentina
773436	Ayacucho	AR	Argentina
773437	Dolores	AR	Argentina
773438	General Belgrano	AR	Argentina
773439	Abasto	AR	Argentina
773440	Canning	AR	Argentina
773441	Ezeiza	AR	Argentina
773442	Banfield	AR	Argentina
773443	Alsina	AR	Argentina
773444	Castelar	AR	Argentina
773445	El Dorado	AR	Argentina
773446	Chacabuco	AR	Argentina
773447	Ciudadela	AR	Argentina
773448	Francisco Álvarez	AR	Argentina
773449	Hurlingham	AR	Argentina
773450	Billinghurst	AR	Argentina
773451	Bella Vista	AR	Argentina
773452	Boulogne	AR	Argentina
773453	Don Torcuato	AR	Argentina
773454	Beccar	AR	Argentina
773455	General Pacheco	AR	Argentina
773456	Belén De Escobar	AR	Argentina
773457	José Hernández	AR	Argentina
773458	La Lucila	AR	Argentina
773459	Lobos	AR	Argentina
773460	Lomas de Zamora	AR	Argentina
773461	Lomas del Mirador	AR	Argentina
773462	Los Polvorines	AR	Argentina
773463	Luis Guillón	AR	Argentina
773464	Manuel B. Gonnet	AR	Argentina
773465	Martinez	AR	Argentina
773466	Morón	AR	Argentina
773467	Muñiz	AR	Argentina
773468	Necochea	AR	Argentina
773469	Olavarria	AR	Argentina
773470	Olivos	AR	Argentina
773471	Pérez Millán	AR	Argentina
773472	Pergamino	AR	Argentina
773473	Pigüé	AR	Argentina
773474	Presidente Derqui	AR	Argentina
773475	Punta Alta	AR	Argentina
773476	Quilmes	AR	Argentina
773477	Ramos Mejía	AR	Argentina
773478	Remedios De Escalada	AR	Argentina
773479	San Andrés	AR	Argentina
773480	San Antonio de Padua	AR	Argentina
773481	San Fernando	AR	Argentina
773482	Virreyes	AR	Argentina
773483	Victoria	AR	Argentina
773484	Delta Islands	AR	Argentina
773485	San Miguel	AR	Argentina
773486	Santos Lugares	AR	Argentina
773487	Suipacha	AR	Argentina
773488	Temperley	AR	Argentina
773489	Tortuguitas	AR	Argentina
773490	Trenque Lauquen	AR	Argentina
773491	Villa Basso	AR	Argentina
773492	Villa Progreso	AR	Argentina
773493	Zarate	AR	Argentina
773494	Las Breñas	AR	Argentina
773495	Rada Tilly	AR	Argentina
773496	Embalse	AR	Argentina
773497	Concepción	AR	Argentina
773498	Colonia Caroya	AR	Argentina
773499	Las Perdices	AR	Argentina
773500	Marcos Juárez	AR	Argentina
773501	Miramar	AR	Argentina
773502	Salsipuedes	AR	Argentina
773503	Goya	AR	Argentina
773504	Ituzaingo	AR	Argentina
773505	Liniers	AR	Argentina
773506	Gualeguay	AR	Argentina
773507	Crespo	AR	Argentina
773508	Chajarí	AR	Argentina
773509	Villaguay	AR	Argentina
773510	Santa Rosa	AR	Argentina
773511	Coquimbito	AR	Argentina
773512	Las Heras	AR	Argentina
773513	Hipólito Yrigoyen	AR	Argentina
773514	Eldorado	AR	Argentina
773515	Oberá	AR	Argentina
773516	Centenario	AR	Argentina
773517	Choele Choel	AR	Argentina
773518	General Roca	AR	Argentina
773519	Viedma	AR	Argentina
773520	Villa Aberastain	AR	Argentina
773521	Caleta Olivia	AR	Argentina
773522	Los Antiguos	AR	Argentina
773523	Casilda	AR	Argentina
773524	Funes	AR	Argentina
773525	Esperanza	AR	Argentina
773526	Avellaneda	AR	Argentina
773527	Moreno	AR	Argentina
773528	Oliveros	AR	Argentina
773529	Rafaela	AR	Argentina
773530	Reconquista	AR	Argentina
773531	San Jorge	AR	Argentina
773532	San Justo	AR	Argentina
773533	Santa Lucía	AR	Argentina
773534	Sunchales	AR	Argentina
773535	Venado Tuerto	AR	Argentina
773536	Frías	AR	Argentina
773537	El Hoyo de Epuyen	AR	Argentina
773538	Las Flores	AR	Argentina
773539	Santiago Del Estero	AR	Argentina
773540	Termas De Rio Hondo	AR	Argentina
773541	Rio Grande	AR	Argentina
773542	Río Colorado	AR	Argentina
773543	Yerba Buena	AR	Argentina
808706	Allen	AR	Argentina
808707	Alpa Corral	AR	Argentina
808708	Amaicha del Valle	AR	Argentina
808709	Angastaco	AR	Argentina
808710	Antofagasta De La Sierra	AR	Argentina
808711	Apostoles	AR	Argentina
808712	Aristobulo Del Valle	AR	Argentina
808713	Bahia Bustamante	AR	Argentina
808714	Barreal	AR	Argentina
808715	Brandsen	AR	Argentina
808716	Cafayate	AR	Argentina
808717	Tolombon	AR	Argentina
808718	Canuelas	AR	Argentina
808719	Capilla Del Senor	AR	Argentina
808720	Caviahue	AR	Argentina
808721	Caviahue-Copahue	AR	Argentina
808722	Caviahue City Center	AR	Argentina
808723	Chacras De Coria	AR	Argentina
808724	Chascomus	AR	Argentina
808725	Chascomus City Center	AR	Argentina
808726	Laguna Yalca	AR	Argentina
808727	Laguna de Chascomus	AR	Argentina
808728	Chilecito	AR	Argentina
808729	Cholila	AR	Argentina
808730	Colonia Carlos Pellegrini	AR	Argentina
808731	Concepcion Del Uruguay	AR	Argentina
808732	Coronel Moldes	AR	Argentina
808733	Dina Huapi	AR	Argentina
808734	El Bolson	AR	Argentina
808735	El Soberbio	AR	Argentina
808736	El Trapiche	AR	Argentina
808737	Esquina	AR	Argentina
808738	Gaiman	AR	Argentina
808739	General Guemes	AR	Argentina
808740	General Madariaga	AR	Argentina
808747	La Consulta San Carlos Mendoza	AR	Argentina
808748	La Cumbre	AR	Argentina
808749	Los Cocos	AR	Argentina
808750	Bartolomè Jaime	AR	Argentina
808751	La Cumbre City Center	AR	Argentina
808752	La Falda	AR	Argentina
808753	La Poblacion - Traslassierras	AR	Argentina
808754	La Quiaca	AR	Argentina
808755	Laboulaye	AR	Argentina
808756	Las Calles	AR	Argentina
808757	Las Leñas	AR	Argentina
808758	Los Reartes	AR	Argentina
808759	Lujan De Cuyo	AR	Argentina
808760	Lules	AR	Argentina
808761	Maipu	AR	Argentina
808762	Punta Delgada	AR	Argentina
808763	Rio De Los Sauces	AR	Argentina
808764	Rosario De La Frontera	AR	Argentina
808765	San Agustin Valle Fertil	AR	Argentina
808766	San Antonio De Arredondo	AR	Argentina
808767	San Fernando Del Valle De Catamarca	AR	Argentina
808768	San Javier	AR	Argentina
808769	Los Molles	AR	Argentina
808770	San Javier City Center	AR	Argentina
808771	San Marcos Sierras	AR	Argentina
808772	Los Sauces	AR	Argentina
808773	San Martin	AR	Argentina
808774	San Marcos Sierras City Center	AR	Argentina
808775	San Miguel Del Monte	AR	Argentina
808776	San Nicolas De Los Arroyos	AR	Argentina
808777	Santa Rosa De Calamuchita	AR	Argentina
808778	Seclantas	AR	Argentina
808779	Sierra De La Ventana	AR	Argentina
808780	Sierra De Los Padres	AR	Argentina
808781	Villa Residencial Laguna Brava	AR	Argentina
808782	Estancia La Peregrina	AR	Argentina
808783	Ciudad de Roma y Rio Blanco	AR	Argentina
808784	Valle Verde	AR	Argentina
808785	Sierra de los Padres City Center	AR	Argentina
808786	Tinogasta	AR	Argentina
808787	Uspallata	AR	Argentina
808788	Valeria del Mar	AR	Argentina
808789	Valle De Las Lenas	AR	Argentina
808790	Valle Del Sol (Potrerillos)	AR	Argentina
808791	Valle Hermoso	AR	Argentina
808792	Vaqueros	AR	Argentina
808793	Villa Del Dique	AR	Argentina
808794	Belgrano	AR	Argentina
808795	Villa Del Dique City Center	AR	Argentina
808796	Villa Rumipal	AR	Argentina
808797	Villa El Chocon	AR	Argentina
808798	Villa Elisa	AR	Argentina
808799	Termas Villa Elisa	AR	Argentina
808800	Villa Elisa City Center	AR	Argentina
808801	Villa Lago Meliquina	AR	Argentina
808802	Villa Los Aromos	AR	Argentina
808803	Villa Pehuenia	AR	Argentina
808804	Lago Moquehue	AR	Argentina
808805	Villa Pehuenia City Center	AR	Argentina
808806	La Angostura	AR	Argentina
808807	Villa Traful	AR	Argentina
808808	Wanda	AR	Argentina
808809	Misiones	AR	Argentina
808810	Ongamira	AR	Argentina
808811	Open Door	AR	Argentina
808812	Ostende	AR	Argentina
808813	Papagayos	AR	Argentina
808814	Payogasta	AR	Argentina
808815	Perico	AR	Argentina
808816	Potrero De Los Funes	AR	Argentina
808828	Huacalera	AR	Argentina
808829	Huerta Grande	AR	Argentina
808830	Humahuaca	AR	Argentina
808834	Mercedes	AR	Argentina
814040	Barrio B.I.D.	AR	Argentina
814041	Barrio 22 de Enero	AR	Argentina
814042	Circunscripcion 1	AR	Argentina
814043	Central	AR	Argentina
814286	Molinos	AR	Argentina
814371	Albardon	AR	Argentina
814372	Campo Quijano	AR	Argentina
814373	Caraguatay	AR	Argentina
